Meso,Mun
Mesorregião do Noroeste Cearense,Acaraú
Mesorregião do Noroeste Cearense,Barroquinha
Mesorregião do Noroeste Cearense,Bela Cruz
Mesorregião do Noroeste Cearense,Camocim
Mesorregião do Noroeste Cearense,Chaval
Mesorregião do Noroeste Cearense,Cruz
Mesorregião do Noroeste Cearense,Granja
Mesorregião do Noroeste Cearense,Itarema
Mesorregião do Noroeste Cearense,Jijoca de Jericoacoara
Mesorregião do Noroeste Cearense,Marco
Mesorregião do Noroeste Cearense,Martinópole
Mesorregião do Noroeste Cearense,Morrinhos
Mesorregião do Noroeste Cearense,Carnaubal
Mesorregião do Noroeste Cearense,Croatá
Mesorregião do Noroeste Cearense,Guaraciaba do Norte
Mesorregião do Noroeste Cearense,Ibiapina
Mesorregião do Noroeste Cearense,São Benedito
Mesorregião do Noroeste Cearense,Tianguá
Mesorregião do Noroeste Cearense,Ubajara
Mesorregião do Noroeste Cearense,Viçosa do Ceará
Mesorregião do Noroeste Cearense,Coreaú
Mesorregião do Noroeste Cearense,Frecheirinha
Mesorregião do Noroeste Cearense,Moraújo
Mesorregião do Noroeste Cearense,Uruoca
Mesorregião do Noroeste Cearense,Alcântaras
Mesorregião do Noroeste Cearense,Meruoca
Mesorregião do Noroeste Cearense,Cariré
Mesorregião do Noroeste Cearense,Forquilha
Mesorregião do Noroeste Cearense,Graça
Mesorregião do Noroeste Cearense,Groaíras
Mesorregião do Noroeste Cearense,Irauçuba
Mesorregião do Noroeste Cearense,Massapê
Mesorregião do Noroeste Cearense,Miraíma
Mesorregião do Noroeste Cearense,Mocambo
Mesorregião do Noroeste Cearense,Pacujá
Mesorregião do Noroeste Cearense,Santana do Acaraú
Mesorregião do Noroeste Cearense,Senador Sá
Mesorregião do Noroeste Cearense,Sobral
Mesorregião do Noroeste Cearense,Ipu
Mesorregião do Noroeste Cearense,Ipueiras
Mesorregião do Noroeste Cearense,Pires Ferreira
Mesorregião do Noroeste Cearense,Poranga
Mesorregião do Noroeste Cearense,Reriutaba
Mesorregião do Noroeste Cearense,Varjota
Mesorregião do Noroeste Cearense,Catunda
Mesorregião do Noroeste Cearense,Hidrolândia
Mesorregião do Noroeste Cearense,Santa Quitéria
Mesorregião do Norte Cearense,Amontada
Mesorregião do Norte Cearense,Itapipoca
Mesorregião do Norte Cearense,Trairi
Mesorregião do Norte Cearense,Paracuru
Mesorregião do Norte Cearense,Paraipaba
Mesorregião do Norte Cearense,São Gonçalo do Amarante
Mesorregião do Norte Cearense,Itapajé
Mesorregião do Norte Cearense,Tururu
Mesorregião do Norte Cearense,Umirim
Mesorregião do Norte Cearense,Uruburetama
Mesorregião do Norte Cearense,Apuiarés
Mesorregião do Norte Cearense,General Sampaio
Mesorregião do Norte Cearense,Pentecoste
Mesorregião do Norte Cearense,São Luís do Curu
Mesorregião do Norte Cearense,Tejuçuoca
Mesorregião do Norte Cearense,Canindé
Mesorregião do Norte Cearense,Caridade
Mesorregião do Norte Cearense,Itatira
Mesorregião do Norte Cearense,Paramoti
Mesorregião do Norte Cearense,Acarape
Mesorregião do Norte Cearense,Aracoiaba
Mesorregião do Norte Cearense,Aratuba
